Tên Sản Phẩm,Giá Hiện Tại,Giá Gốc,Giảm Giá
"Laptop Lenovo Gaming LOQ 15IAX9E - 83LK0079VN (i5 12450HX, 16GB, 512GB, RTX 3050 6GB, Full HD 144Hz, Win11)",22.990.000₫,24.990.000₫,-44%
"Laptop Asus TUF Gaming FA506NCQ - HN005W (R7 170, 16GB, 512GB, RTX 3050 4GB, Full HD 144Hz, Win11)",25.990.000₫,29.990.000₫,-9%
"Laptop MSI Gaming Thin 15 B13UC - 3247VN_16GB (i5 13420H, 16GB, 512GB, RTX 3050 4GB, Full HD 144Hz, Win11)",19.990.000₫,26.890.000₫,-21%
"Laptop Acer Gaming Nitro V 15 ProPanel ANV15 41 R0FE - NH.QPFSV.005 (R7 7735HS, 16GB, 512GB, RTX 3050 6GB, Full HD 180Hz, Win11)",30.290.000₫,32.990.000₫,-32%
"Laptop Lenovo Gaming LOQ 15IRX9 - 83DV003CVN (i5 13450HX, 16GB, 512GB, RTX 3050 6GB, Full HD 144Hz, Win11)",26.990.000₫,37.990.000₫,-25%
